OrganizationID,PersonalIdentificationNumber,LegalFirstName,LegalMiddleName,LegalLastName,LegalSuffix,NameDataQuality,SocialSecurityNumber,SocialSecNumberQualityCode,DateOfBirth,DateOfBirthQualityCode,RaceAmericanIndianOrAlaskaNative,RaceAsian,RaceBlackOrAfricanAmerican,RaceNativeHawaiianOrOtherPacificIslander,RaceWhite,RaceNone,Ethnicity,Gender,VeteranStatus,DateAdded,DateUpdated,UpdateOrDelete,UserID,IdentityVerification,ReleaseOfInformation,ExportID
1729,336788,Renee,,Mover,,99,459834818,1,1/24/2045,1,0,0,0,0,1,8,0,2,0,3/3/2003,5/8/2015,,,,,20150806-102221.8128
1729,336823,Tommy,,Mover,,99,106533370,1,3/29/1978,1,0,0,1,0,0,,1,1,0,3/3/2003,5/8/2015,,,,,20150806-102221.8128
1729,336825,David,J,Mover,,99,729049198,1,5/1/2068,1,0,0,1,0,0,,1,1,0,3/3/2003,5/8/2015,,,,,20150806-102221.8128
1729,432713,Marva,,Mover,,99,547184647,99,6/12/1979,1,0,0,0,0,0,,0,2,1,5/3/2004,5/8/2015,,,,,20150806-102221.8128
1729,516827,Rachel,,Lion,,99,812406925,99,8/7/1982,1,0,0,0,0,1,8,0,2,0,6/21/2005,5/8/2015,,,,,20150806-102221.8128
1729,518207,Sheis,A,Test,Ms,99,927754675,99,12/31/2049,1,0,0,0,0,1,8,0,2,0,6/28/2005,5/8/2015,,,,,20150806-102221.8128
1729,537807,Heis,A,Test,Mr,99,923190875,1,2/12/2055,1,0,0,0,0,1,8,0,1,1,10/3/2005,5/8/2015,,,,,20150806-102221.8128
1729,538291,Sheisa,second,Test,,99,274840418,1,8/2/1995,1,0,0,0,0,1,8,0,2,0,10/4/2005,5/8/2015,,,,,20150806-102221.8128
1729,538293,Shealso,isa,Test,,99,368906403,1,5/26/1995,1,0,0,0,0,1,8,0,2,0,10/4/2005,5/8/2015,,,,,20150806-102221.8128
1729,538294,Shemust,Bea,Test,,99,462238171,1,4/27/1980,1,0,0,0,0,1,8,0,2,0,10/4/2005,5/8/2015,,,,,20150806-102221.8128
1729,558360,Anonymous,,Test,,99,,9,12/31/2059,1,99,99,99,99,99,99,99,99,9,12/28/2005,5/8/2015,,,,,20150806-102221.8128
1729,715839,Robert,,Mover,,1,711111114,1,1/14/2055,1,0,1,0,1,0,9,0,2,1,2/6/2008,5/8/2015,,,,,20150806-102221.8128
1729,715840,,,,,99,,99,,99,99,99,99,99,99,99,99,99,99,8/6/2015,8/6/2015,,,,,20150806-102221.8128
1729,715841,Zeke,,Williams,,99,4320,99,8/10/1955,99,0,1,0,0,0,,0,1,99,null,8/6/2015,,,,,20150806-102221.8128
1729,715842,John,,Williams,,99,2111,99,8/15/1979,99,1,0,1,0,0,,0,1,99,8/6/2015,8/6/2015,,,,,20150806-102221.8128
1729,715843,Sarah,,Williams,,99,3111,99,8/18/1964,99,0,0,0,0,1,8,99,0,99,null,8/6/2015,,,,,20150806-102221.8128
1729,715844,william,,Morris,,99,4111,99,8/4/1982,99,0,0,0,0,0,,99,1,99,8/6/2015,8/6/2015,,,,,20150806-102221.8128
1729,715845,Ann,,Williams,,99,5111,99,8/10/1960,99,0,0,0,0,0,,99,0,99,8/6/2015,8/6/2015,,,,,20150806-102221.8128
1729,720001,Jimmy,C,Williams,,99,6111,,8/10/1961,1,1,,,,,,,,,,,,,,,
