"OrganizationID","PersonalIdentificationNumber","LegalFirstName","LegalMiddleName","LegalLastName","LegalSuffix","NameDataQuality","SocialSecurityNumber","SocialSecNumberQualityCode","DateOfBirth","DateOfBirthQualityCode","RaceAmericanIndianOrAlaskaNative","RaceAsian","RaceBlackOrAfricanAmerican","RaceNativeHawaiianOrOtherPacificIslander","RaceWhite","RaceNone","Ethnicity","Gender","VeteranStatus","DateAdded","DateUpdated","UpdateOrDelete","UserID","IdentityVerification","ReleaseOfInformation","ExportID"
1729,"336788","Renee","","Mover","",99,"459834818","1","2045-01-24","1",0,0,0,0,1,8,0,2,0,2003-03-03,2015-05-08,"",,,,"20150805-062524.6696"
1729,"336823","Tommy","","Mover","",99,"106533370","1","1978-03-29","1",0,0,1,0,0,,1,1,0,2003-03-03,2015-05-08,"",,,,"20150805-062524.6696"
1729,"336825","David","J","Mover","",99,"729049198","1","2068-05-01","1",0,0,1,0,0,,1,1,0,2003-03-03,2015-05-08,"",,,,"20150805-062524.6696"
1729,"432713","Marva","","Mover","",99,"547184647","99","1979-06-12","1",0,0,0,0,0,,0,2,1,2004-05-03,2015-05-08,"",,,,"20150805-062524.6696"
1729,"516827","Rachel","","Lion","",99,"812406925","99","1982-08-07","1",0,0,0,0,1,8,0,2,0,2005-06-21,2015-05-08,"",,,,"20150805-062524.6696"
1729,"518207","Sheis","A","Test","Ms",99,"927754675","99","2049-12-31","1",0,0,0,0,1,8,0,2,0,2005-06-28,2015-05-08,"",,,,"20150805-062524.6696"
1729,"537807","Heis","A","Test","Mr",99,"923190875","1","2055-02-12","1",0,0,0,0,1,8,0,1,1,2005-10-03,2015-05-08,"",,,,"20150805-062524.6696"
1729,"538291","Sheisa","second","Test","",99,"274840418","1","1995-08-02","1",0,0,0,0,1,8,0,2,0,2005-10-04,2015-05-08,"",,,,"20150805-062524.6696"
1729,"538293","Shealso","isa","Test","",99,"368906403","1","1995-05-26","1",0,0,0,0,1,8,0,2,0,2005-10-04,2015-05-08,"",,,,"20150805-062524.6696"
1729,"538294","Shemust","Bea","Test","",99,"462238171","1","1980-04-27","1",0,0,0,0,1,8,0,2,0,2005-10-04,2015-05-08,"",,,,"20150805-062524.6696"
1729,"558360","Anonymous","","Test","",99,"","9","2059-12-31","1",99,99,99,99,99,99,99,99,9,2005-12-28,2015-05-08,"",,,,"20150805-062524.6696"
1729,"715839","Robert","","Mover","",1,"711111114","1","2055-01-14","1",0,1,0,1,0,9,0,2,1,2008-02-06,2015-05-08,"",,,,"20150805-062524.6696"
